gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
lasA,Q02L18,stability,0.07068402309783302,0.03803183777641736,0.156437682128162
PA14_58820,A0A0H2ZGZ0,stability,-0.06845552246206282,0.03788519438256888,0.788150301214353
glyQ,Q02V72,stability,0.07145362894707287,0.03763954954514427,0.771322523665096
flgM,A0A0H2ZE25,stability,0.311313475677523,0.037457332020080135,0.147903809321132
PA14_09370,A0A0H2ZG59,expression/solubility,0.04442362013129954,0.035107386618771684,0.142337327467211
PA14_43240,A0A0H2Z919,stability,-0.026985931742424665,0.03497230049922739,0.576818232151131
fadA,Q02PH7,stability,0.20445184404467956,0.03480371527490859,0.80226768826883
PA14_40930,A0A0H2Z9R5,stability,0.023445179751253736,0.03302372534282006,0.579309271558237
PA14_26880,A0A0H2ZBL0,stability,-0.06008420283809224,0.03297838729439024,0.569515091642845
ccpR,A0A0H2ZH77,stability,0.1363567271658056,0.03291711209218723,0.818669875503309
PA14_45260,A0A0H2Z944,expression/solubility,0.3012802601807321,0.03207050201327966,0.56471719536577
PA14_40440,A0A0H2Z9V0,stability,-0.07203550454658442,0.02855395916727557,0.146645413432306
cysM,A0A0H2Z744,stability,0.04069311399440963,0.027383294312475357,0.926542014021276
PA14_18660,A0A0H2ZEJ2,expression/solubility,0.20933899754797314,0.027183814005081963,0.139046504825973
PA14_64590,A0A0H2ZI81,stability,0.3456311306526057,0.024245020948263488,0.99443441401539
PA14_65520,A0A0H2ZI89,expression/solubility,-0.019956462293202155,0.0230553435631757,0.623372143165157
PA14_56600,A0A0H2ZFG6,expression/solubility,0.0246899885909734,0.022968138505937187,0.613069545381308
PA14_43430,A0A0H2Z9G8,stability,0.032603160959991356,0.022431446004560235,0.607259608582546
PA14_07030,A0A0H2ZLN0,expression/solubility,-0.03329601610586456,0.022388979285307233,1.03546317430203
PA14_45180,A0A0H2Z948,stability,0.03030808035831855,0.020907015692346775,0.610489592082692
exsA,A0A0H2Z9N8,expression/solubility,0.021375785972971892,0.020824032728601644,0.600141214941316
PA14_02870,A0A0H2ZK29,stability,-0.05015452435401019,0.01919276907201735,0.605944994425988
PA14_24730,Q02PK7,stability,-0.1544700544697568,0.019100466229356818,1.15087966792935
ldhA,A0A0H2Z739,stability,0.05114197014957442,0.0187383003491863,0.152084561592705
PA14_50310,A0A0H2Z6S6,expression/solubility,0.017248427793001894,0.018327212628919103,0.602284345574776
PA14_44170,A0A0H2Z8V1,stability,0.0323002118095408,0.017534808776747724,0.598772763974408
yfbQ,A0A0H2ZCH6,expression/solubility,-0.04729506900515111,0.017330675548777978,1.20176154032829
hisG,Q02GZ2,stability,-0.02996016701175089,0.016780538576723895,1.1873506953996
fabI,A0A0H2Z8P5,stability,-0.03450100583161321,0.01646335487218078,0.598732255405901
glyA,A0A0H2ZH93,stability,0.060649772392912187,0.01634283722030397,1.16487876055819
tsaC,Q02V59,stability,0.054352237429778384,0.016159990827831542,0.58961132030012
PA14_16190,A0A0H2ZEZ3,expression/solubility,0.10822212950242677,0.015822244345447125,0.15085546958778
PA14_41640,Q02KR3,stability,-0.035560724583028225,0.015601014938764915,1.16776326103734
PA14_12980,A0A0H2ZFK3,stability,-0.06660997208003502,0.015323274530783287,1.14116407618214
PA14_28895,A0A0H2ZL96,stability,-0.0285286084166297,0.01526745015621554,0.587342339345603
PA14_57870,A0A0H2ZGJ7,stability,-0.037392724366659746,0.015131330574840247,1.1062746363679
PA14_27470,A0A0H2ZCS1,stability,-0.016106522869362625,0.014751544403501135,0.581321831767906
PA14_64010,A0A0H2ZHV7,expression/solubility,0.03983773067916879,0.013959371304027945,0.578114230024011
potD,A0A0H2ZEN8,stability,0.04850820978865314,0.0135603653285829,1.16641245388061
uvrA,A0A0H2ZF88,stability,0.1201671971139378,0.013005180785679112,0.632175131788135
PA14_45480,A0A0H2Z8G9,expression/solubility,-0.030442704852706434,0.012070079604598057,1.24283335662789
PA14_05400,A0A0H2ZKW7,stability,-0.014829804927331255,0.011178417515898698,0.599366303979617
pyrH,Q02RC6,expression/solubility,-0.027292374007678304,0.009608460984756052,1.44828497226455
panB2,Q02FU3,expression/solubility,-0.025935648371266853,0.008959528817533518,1.46376789694383
PA14_30390,A0A0H2ZC54,stability,0.05650169331666145,0.008636898273204907,1.43523661408576
ysgA,A0A0H2ZC34,stability,0.015682194057034925,0.008506761901052736,0.628188174575981
PA14_03320,A0A0H2ZJQ3,stability,0.03639717536547325,0.008342820304150388,0.617107692307692
mobA,Q02PJ4,stability,-0.04047989939114231,0.00822614068916949,0.183565705897855
PA14_26760,A0A0H2ZCW6,expression/solubility,-0.02907039315625101,0.007572663631870948,0.169467609186849
PA14_65380,A0A0H2ZIH8,stability,-0.029960030487066674,0.007376018433886096,0.150074706693777
yeaG,A0A0H2Z7Q8,stability,0.014344133721685819,0.006862587234325913,0.632993348301639
tis1,A0A0H2ZKA1,stability,-0.10546104220668313,0.006634486785283523,0.622291021671827
ppa,A0A0H2ZFK1,expression/solubility,-0.02061672937293879,0.006524580589578145,1.69450092854348
PA14_65670,A0A0H2ZIF0,expression/solubility,-0.010617354357498825,0.006019610707589511,0.621589754579042
PA14_48420,A0A0H2Z8D1,expression/solubility,0.15887594130295785,0.005820304843732993,0.950294939369536
PA14_61300,A0A0H2ZGH1,expression/solubility,0.027144428143580784,0.0057153609138380105,0.837610166017627
ccmH,A0A0H2Z933,stability,-0.025866242041935147,0.005614322304841101,1.79132185708757
cadA,A0A0H2ZF06,stability,0.026446568935270184,0.005379156210033419,0.146399572130111
nqrA,Q02PG3,stability,-0.043991372604397776,0.005302929445979638,0.745400366330408
trmH,A0A0H2ZHL8,stability,0.1670534201801939,0.0046851069956377394,0.129420267693242
trmD,Q02RL6,stability,0.06670345697338266,0.004333970932862409,2.12380959714477
tag,A0A0H2ZIW5,expression/solubility,-0.022922527769183562,0.0038738193983585308,0.664848042417489
PA14_64930,A0A0H2ZI60,stability,0.03606357007430065,0.003778612486007318,0.760486919143259
PA14_58090,A0A0H2ZGL5,expression/solubility,0.022727118227043652,0.0034894348177771997,0.635481051141418
PA14_40220,A0A0H2Z8V4,stability,-0.04781350180482362,0.0031322202294268705,0.495538836239118
rrmA,A0A0H2Z858,stability,0.006741640788509879,0.003019522067840707,0.673308426064598
flgA,A0A0H2ZE75,expression/solubility,0.03517281849567846,0.0022146598847693254,0.689052528943441
aldG,A0A0H2ZB67,stability,-0.01666609188166245,0.002115531668937685,3.22082037475437
retS,A0A0H2ZI10,expression/solubility,-0.0047830527928197746,0.001673296770896955,0.696654611211573
PA14_44830,A0A0H2Z904,stability,-0.013198978185375153,0.001361897844264445,0.695146519007399
PA14_05040,A0A0H2ZL77,expression/solubility,0.009201280747754711,0.0011574911893592326,0.685830914346898
PA14_24840,A0A0H2ZD97,stability,0.011200125971881018,0.0010989007482507058,0.170176890497834
PA14_34330,A0A0H2ZB97,expression/solubility,-0.02775657514193712,8.244128309339633E-4,4.77522132110926
PA14_06400,A0A0H2ZKP6,expression/solubility,0.005225649328906423,7.462533769688219E-4,0.696145892905283
tauD,A0A0H2ZFL5,stability,-0.0033807606250814476,6.853912410528187E-4,0.679962594640067
gshA,Q02EG1,expression/solubility,0.017654941076654027,6.835888310679262E-4,4.75404717974377
glmU,Q02DF6,expression/solubility,-0.0121675603570721,5.389785109039599E-4,0.66730064068985
