representative,clustername,nObs,min_qupm,max_qupm,nCoeffsH0,nCoeffsH1,rssH0,rssH1,pEC50H1,slopeH1,pEC50_slopeH1,detected_effectH1,df1,df2,F_statistic,nObsRound,rssH1Squeezed,dataset,max_rank,rank,is_decoy,all_null,all_true,true_cumsum,null_cumsum,remaining_null,remaining_true,pi,FDR
rpsK,rpsK,50,6,8,10,24,0.544842084559383,0.266108946365854,3.32990495384986,-0.786482583107748,-0.0107882836192326,stability,14,26,2.03328330196264,50,0.00979180316473785,true,95243,4047,0,94300,943,280,3767,90533,663,0.732329647752753,0.0985244922530222
bepA,bepA,50,3,15,10,24,0.469233290727163,0.227812759408479,3.26911558438319,-0.336517102806086,0.109024580890409,stability,14,26,2.02874946123943,50,0.00849997695382513,true,95243,4063,0,94300,943,281,3782,90518,662,0.731346251574273,0.0984324385570783
lpp,lpp,50,5,7,10,24,1.1649789747658,0.583565054636647,4.30101194017466,-13.1825122463365,0.00910596038557304,stability,14,26,2.02579373359237,50,0.0205003920363927,true,95243,4073,0,94300,943,282,3791,90509,661,0.730314112408711,0.0981780425582064
treF,treF,20,2,2,4,12,0.25124704086532,0.0875514244681099,3.82483349504021,10.24108154728,0.0116237310277862,stability,8,8,2.025381148316,20,0.0101027661221515,true,49086,2071,0,48600,486,171,1910,46690,315,0.674662668665667,0.0753570583129488
yfiF,yfiF,40,5,19,8,20,0.176610499022639,0.0742828486907227,3.02407086013141,5.41124050661213,-0.0179656598829967,stability,12,20,2.0251853459321,40,0.00421062902289648,true,38784,2051,0,38400,384,93,1958,36442,291,0.798529169639427,0.16812044238215
artI,artI,50,9,16,10,24,0.248210914341112,0.115174815932414,2.9680774632007,-8.23576175693846,-0.0047084850800061,expression/solubility,14,26,2.02164571718731,50,0.00470041727735804,true,95243,4097,0,94300,943,283,3814,90486,660,0.729394602479942,0.0983007425391695
yciN,yciN,50,2,5,10,24,1.56843038099168,0.790611220596959,4.30102999566398,2.86914624153367,0.013305543101087,expression/solubility,14,26,2.02144318535529,50,0.0274845772858072,true,95243,4099,0,94300,943,284,3815,90485,659,0.728297507874233,0.0978329222725423
nuoF,nuoF,50,6,20,10,24,1.29672749831776,0.65313441982536,3.8125044574783,5.72307917570664,-0.00166799777645143,stability,14,26,2.01210884892122,50,0.0228471408008943,true,95243,4148,0,94300,943,285,3863,90437,658,0.727578314185566,0.0986187729017137
artP,artP,30,4,5,6,16,0.110233226164323,0.0388485799390674,4.30102999566398,-4.13234186991065,-0.000537758162205767,stability,10,14,2.01021202858803,30,0.00355110034215623,true,37370,2281,0,37000,370,94,2187,34813,276,0.79280728463505,0.184454205478389
dadA,dadA,50,2,17,10,24,0.899988608329601,0.450267940155436,2.86644829653227,-3.44107515597358,-0.0251168365831991,stability,14,26,2.00718642806416,50,0.0160039468284789,true,95243,4175,0,94300,943,286,3889,90411,657,0.726681487872051,0.0988134372844198
yqjD,yqjD,50,6,9,10,24,1.97492644361398,1.00214833808103,3.29791572171268,-1.39347054841062,-0.0194517351458493,stability,14,26,2.00703759318096,50,0.0346202535673911,true,95243,4177,0,94300,943,287,3890,90410,656,0.725583453157836,0.09834563180432
aphA,aphA,50,3,10,10,24,0.261387415546215,0.122474816315187,4.30102999566398,-7.52471173581041,0.0154813406000152,expression/solubility,14,26,2.00586241566726,50,0.00494666455635307,true,95243,4184,0,94300,943,288,3896,90404,655,0.724525463475068,0.0980121946423216
yhaM,yhaM,30,2,10,6,16,0.305951818474917,0.128617250433744,3.31358148450342,-8.15192722795528,-0.00732221769705816,stability,10,14,1.99810132499655,30,0.00887515391850705,true,37370,2310,0,37000,370,95,2215,34785,275,0.790570648267932,0.184327787990891
trmL,trmL,40,5,9,8,20,0.351682544458001,0.162191810739971,2.30102999566398,-5.0686605334875,-0.0291650181189004,stability,12,20,1.99647186870056,40,0.00790939993899351,true,38784,2121,0,38400,384,94,2027,36373,290,0.797294696615621,0.171927271280837
nanA,nanA,50,3,9,10,24,0.185314776639153,0.0837091605882863,4.30102999566398,-6.73990908798953,0.0252562781899399,expression/solubility,14,26,1.99437758629873,50,0.003639001989138,true,95243,4235,0,94300,943,289,3946,90354,654,0.723819642738562,0.0988301837455489
